date,price,1_hour_pred,2_hour_pred,3_hour_pred,market_demand,ontario_demand,1_lag_pred,2_lag_pred,3_lag_pred
2020-01-01 01:00:00,0.0,0.0,0.0,0.0,16565,13219,,,
2020-01-01 02:00:00,0.0,0.0,0.0,0.0,16193,12895,0.0,,
2020-01-01 03:00:00,0.0,0.0,0.0,0.0,16072,12554,0.0,0.0,
2020-01-01 04:00:00,0.0,0.0,0.0,-0.02,15930,12360,0.0,0.0,0.0
2020-01-01 05:00:00,0.0,0.0,0.0,-0.1,15963,12353,0.0,0.0,0.0
2020-01-01 06:00:00,0.0,0.0,0.0,0.0,16057,12458,0.0,0.0,0.0
2020-01-01 07:00:00,0.0,0.0,0.0,0.0,16249,12729,0.0,0.0,-0.02
2020-01-01 08:00:00,-0.04,0.0,0.0,0.0,16498,13180,0.0,0.0,-0.1
2020-01-01 09:00:00,0.0,0.0,0.0,0.0,16686,13406,0.0,0.0,0.0
2020-01-01 10:00:00,0.0,0.0,0.0,0.0,16973,13765,0.0,0.0,0.0
2020-01-01 11:00:00,0.0,0.0,0.0,0.0,17340,14078,0.0,0.0,0.0
2020-01-01 12:00:00,0.0,0.0,0.0,0.0,17537,14373,0.0,0.0,0.0
2020-01-01 13:00:00,2.92,0.0,0.0,0.0,17756,14495,0.0,0.0,0.0
2020-01-01 14:00:00,1.8,0.0,0.0,0.0,17764,14513,0.0,0.0,0.0
2020-01-01 15:00:00,0.0,0.05,0.05,0.0,17857,14690,0.0,0.0,0.0
2020-01-01 16:00:00,0.0,5.85,5.83,5.76,17162,14753,0.05,0.0,0.0
2020-01-01 17:00:00,1.39,12.0,14.32,14.36,17654,15490,5.85,0.05,0.0
2020-01-01 18:00:00,5.44,14.33,14.32,14.35,18537,16324,12.0,5.83,0.0
2020-01-01 19:00:00,1.72,13.79,14.32,5.92,18574,16208,14.33,14.32,5.76
2020-01-01 20:00:00,0.0,5.81,5.88,5.85,18332,15911,13.79,14.32,14.36
2020-01-01 21:00:00,0.0,1.0,1.0,1.0,18314,15535,5.81,14.32,14.35
2020-01-01 22:00:00,0.0,0.0,0.0,0.0,18638,15222,1.0,5.88,5.92
2020-01-01 23:00:00,0.0,0.0,0.0,0.0,17964,14426,0.0,1.0,5.85
2020-01-02 00:00:00,0.0,0.0,0.0,0.0,17201,13698,0.0,0.0,1.0
2020-01-02 01:00:00,-0.04,0.0,0.0,0.0,16449,12996,0.0,0.0,0.0
2020-01-02 02:00:00,-0.12,0.0,0.0,-0.1,16373,12662,0.0,0.0,0.0
2020-01-02 03:00:00,-2.86,-0.1,-0.1,-0.13,16031,12435,0.0,0.0,0.0
2020-01-02 04:00:00,-3.0,-0.13,-0.13,-0.13,15872,12365,-0.1,0.0,0.0
2020-01-02 05:00:00,-0.1,-0.1,-0.1,-0.02,16082,12481,-0.13,-0.1,-0.1
2020-01-02 06:00:00,-0.03,0.0,0.0,0.0,16587,12940,-0.1,-0.13,-0.13
